id,rate_category
68793,4
25867,3
928334,3
252028,3
541398,5
75177,2
759397,1
407864,2
143068,2
20221,1
282286,2
350650,2
117828,0
1133855,5
467525,4
223820,2
199192,1
339686,3
412911,3
225852,1
1034155,3
72043,3
253230,2
232485,3
9806,4
1074894,2
393065,2
292355,2
120640,4
23986,2
583753,5
42461,1
384524,2
101231,3
181537,2
606403,4
547079,3
37358,2
723964,1
8491,4
284374,1
961049,3
763329,4
645431,4
680535,2
401911,2
364471,1
71721,4
297552,1
68845,1
58084,2
21381,2
698756,2
18920,0
412188,2
469312,2
42047,3
219888,1
105246,2
46708,3
66055,1
501628,2
620210,3
338803,4
305652,0
292387,3
520321,0
264201,3
236892,4
370458,0
246264,2
112941,3
309795,1
175472,2
418375,4
126879,4
745946,3
259710,2
896225,4
542507,3
61774,1
118658,3
816471,1
382239,5
513762,3
105859,2
112944,2
41201,2
29484,3
43439,2
32298,1
1061434,2
42182,2
52622,1
382706,2
66153,3
965377,0
17778,1
793711,0
505979,0
188500,3
125915,1
103597,3
265016,2
39946,3
401438,2
26645,4
714017,3
96001,2
48643,2
198919,3
837548,3
220890,3
378087,0
274633,2
482981,3
303429,0
276882,5
93793,1
681420,2
60568,3
10986,3
26193,0
744330,4
363283,3
629210,2
697293,3
83980,3
259773,1
58372,1
105165,0
236500,2
94832,2
285781,2
761600,3
760484,1
388764,3
10779,3
369821,4
813258,4
619937,3
230680,1
46493,3
633545,1
198338,3
1124726,0
1018195,4
288763,0
246608,2
197377,2
74749,3
92959,3
901365,5
592536,3
308862,2
88761,3
41077,0
186458,1
652685,1
673875,2
566861,0
227973,3
267239,2
25432,2
415220,3
1034852,0
886544,2
448530,1
1106101,0
613835,2
9762,3
136707,3
501869,5
911098,3
8053,2
157306,3
940631,3
448075,2
529772,0
158080,2
289200,1
167028,2
191094,2
110702,2
756246,4
369840,5
189715,2
666344,0
44482,1
216968,1
1042140,3
123989,3
188348,2
320047,3
79246,2
452580,2
233567,0
252377,0
147002,0
24676,1
58602,2
38995,1
431222,3
89492,3
480352,0
948610,5
478005,3
34182,2
3052,2
195625,2
180510,2
1062526,0
103631,2
869358,3
1071928,5
47161,3
562169,1
85115,2
500565,2
242378,2
65991,1
147936,4
551465,2
57084,3
204988,3
572312,1
592938,5
303808,2
218341,2
388388,0
335683,2
790948,1
341,3
94828,1
71296,2
878023,0
338677,1
355353,1
297974,3
391060,4
577162,1
201002,1
1145612,2
863929,2
57109,3
178758,1
456646,0
472612,2
49204,3
277816,1
338073,1
153021,5
157194,2
28932,4
140601,1
115075,2
549179,0
46496,0
448565,2
290233,3
37584,3
172740,0
44305,3
291962,2
257569,3
123331,5
329884,0
548000,0
249677,3
451432,3
162785,2
139476,4
7509,3
304395,1
312993,3
373033,1
359642,1
6296,3
601937,0
448549,3
399363,2
67720,0
551778,1
365992,1
884348,5
219233,2
1020481,3
85564,3
260649,1
837780,3
1053568,5
25626,3
884279,3
445164,0
347653,0
437202,3
83803,3
566365,0
599379,2
820722,3
705793,4
564058,2
36536,2
11535,0
178466,2
473275,2
508747,3
32117,2
1113891,5
91987,2
544867,0
204977,2
1055312,3
13689,3
718102,0
855,3
415476,3
735129,2
68392,3
26170,3
381015,3
54823,1
882956,1
564579,2
56696,1
35696,0
11333,3
20105,2
427408,2
86641,0
431665,2
4961,3
729839,1
427008,4
212007,1
256201,4
462446,2
888910,3
69116,3
122719,2
729901,5
579517,2
140613,2
522307,2
65502,2
243833,2
336866,1
675302,5
210161,2
138790,2
51642,2
728123,3
303904,3
783110,3
822138,3
945995,0
288767,3
464272,3
264290,2
450720,4
328651,0
434646,3
50550,3
587133,3
891150,4
411343,1
323160,3
701300,4
209731,2
436320,3
104543,3
324178,0
40075,2
559566,3
415257,0
470114,3
979606,5
151743,3
515169,1
902964,5
119992,1
259045,1
310516,3
788920,2
61728,2
336893,3
1000723,2
80994,3
146507,1
322664,0
56922,2
342550,2
419612,1
101180,1
145951,1
37453,1
316988,2
786731,5
491974,1
295353,3
1166013,2
703531,2
388317,0
128354,1
758009,4
36361,3
660640,3
602397,3
255511,2
561033,2
213592,2
292750,2
212088,2
45773,2
62446,2
409296,2
243537,0
384261,3
767692,2
218443,3
112785,1
484755,2
102475,2
126008,1
890345,4
410685,3
271768,2
189008,5
60778,1
284324,0
609352,2
267654,1
256152,0
357859,2
352499,0
829400,2
338937,4
11858,2
664958,3
431092,4
931224,0
191860,5
33107,2
339928,3
205715,1
8905,3
145657,1
567232,2
266364,1
488693,2
523703,4
464693,1
110687,1
500902,3
98884,2
72852,3
482427,4
125948,3
262921,0
52657,2
476702,3
86470,1
156345,2
359628,4
44046,2
255237,1
759604,5
542971,3
609346,0
91722,0
243022,0
97895,2
530213,2
463856,4
397584,1
91063,1
251333,1
475888,3
600345,0
55912,0
432689,2
257343,2
606935,0
259034,0
528426,1
236461,3
475747,5
212415,0
144262,3
57903,0
1020776,4
366171,3
257640,2
14794,3
703449,0
44864,2
609500,4
289343,1
436740,5
35977,1
33942,2
288187,2
73602,3
421061,1
2233,2
51865,2
1109497,5
843850,3
287580,4
147084,2
30583,2
407628,0
970713,2
256771,3
9377,4
405894,4
434615,4
9873,2
470914,2
742740,2
289374,5
198068,0
400589,0
367198,4
46134,2
401729,2
124250,3
580377,3
269136,3
843120,2
524084,3
360711,1
825952,3
339689,1
4268,2
86743,2
255422,3
404224,2
283073,5
392,3
5623,3
42005,2
111050,2
625884,4
34825,0
46273,3
1094367,3
338553,1
337718,0
621754,3
156476,1
533762,2
82002,0
34615,3
166733,3
318186,4
377772,1
49325,3
648705,3
85926,3
1000245,5
46364,1
108021,2
744929,2
85394,4
