id,rate_category
68793,0
25867,1
928334,5
252028,2
541398,1
75177,3
759397,3
407864,1
143068,2
20221,1
282286,2
350650,3
117828,2
1133855,4
467525,4
223820,3
199192,3
339686,2
412911,3
225852,4
1034155,4
72043,3
253230,1
232485,3
9806,4
1074894,2
393065,2
292355,1
120640,3
23986,3
583753,5
42461,3
384524,4
101231,3
181537,3
606403,4
547079,1
37358,2
723964,3
8491,3
284374,1
961049,1
763329,3
645431,5
680535,2
401911,3
364471,2
71721,2
297552,2
68845,1
58084,4
21381,2
698756,3
18920,2
412188,2
469312,3
42047,3
219888,1
105246,3
46708,2
66055,2
501628,3
620210,4
338803,3
305652,0
292387,3
520321,1
264201,0
236892,4
370458,3
246264,1
112941,0
309795,4
175472,2
418375,4
126879,4
745946,3
259710,3
896225,4
542507,3
61774,0
118658,0
816471,2
382239,5
513762,3
105859,2
112944,4
41201,4
29484,2
43439,4
32298,3
1061434,0
42182,1
52622,3
382706,2
66153,2
965377,3
17778,4
793711,2
505979,5
188500,2
125915,1
103597,4
265016,3
39946,4
401438,3
26645,2
714017,3
96001,2
48643,4
198919,1
837548,3
220890,3
378087,3
274633,2
482981,3
303429,0
276882,2
93793,2
681420,1
60568,3
10986,4
26193,2
744330,5
363283,0
629210,2
697293,5
83980,3
259773,1
58372,3
105165,1
236500,2
94832,2
285781,2
761600,2
760484,1
388764,4
10779,2
369821,3
813258,1
619937,4
230680,0
46493,5
633545,2
198338,3
1124726,5
1018195,3
288763,3
246608,5
197377,1
74749,1
92959,4
901365,1
592536,2
308862,2
88761,3
41077,0
186458,0
652685,0
673875,1
566861,3
227973,3
267239,1
25432,2
415220,3
1034852,3
886544,0
448530,1
1106101,5
613835,2
9762,3
136707,5
501869,4
911098,0
8053,0
157306,5
940631,4
448075,0
529772,2
158080,0
289200,5
167028,2
191094,0
110702,0
756246,2
369840,0
189715,1
666344,2
44482,3
216968,1
1042140,0
123989,3
188348,0
320047,2
79246,2
452580,2
233567,2
252377,2
147002,4
24676,2
58602,2
38995,0
431222,1
89492,2
480352,1
948610,1
478005,5
34182,4
3052,1
195625,1
180510,3
1062526,4
103631,0
869358,2
1071928,2
47161,3
562169,3
85115,4
500565,0
242378,4
65991,3
147936,0
551465,2
57084,3
204988,2
572312,2
592938,0
303808,3
218341,2
388388,0
335683,4
790948,0
341,2
94828,2
71296,1
878023,1
338677,4
355353,2
297974,2
391060,1
577162,1
201002,2
1145612,4
