id,rate_category
68793,0
25867,2
928334,3
252028,2
541398,3
75177,3
759397,3
407864,1
143068,2
20221,1
282286,2
350650,3
117828,0
1133855,5
467525,4
223820,2
199192,3
339686,3
412911,3
225852,3
1034155,4
72043,3
253230,2
232485,3
9806,4
1074894,3
393065,2
292355,2
120640,2
23986,3
583753,5
42461,3
384524,4
101231,3
181537,3
606403,4
547079,2
37358,2
723964,3
8491,3
284374,1
961049,0
763329,3
645431,2
680535,0
401911,3
364471,2
71721,3
297552,1
68845,2
58084,3
21381,2
698756,2
18920,2
412188,2
469312,3
42047,3
219888,3
105246,1
46708,3
66055,2
501628,3
620210,3
338803,3
305652,0
292387,2
520321,3
264201,2
236892,2
370458,5
246264,2
112941,0
309795,3
175472,2
418375,4
126879,2
745946,3
259710,1
896225,5
542507,3
61774,0
118658,3
816471,2
382239,4
513762,3
105859,2
112944,2
41201,4
29484,2
43439,4
32298,2
1061434,0
42182,1
52622,2
382706,2
66153,2
965377,3
17778,3
793711,2
505979,5
188500,3
125915,1
103597,3
265016,2
39946,3
401438,3
26645,2
714017,3
96001,2
48643,3
198919,2
837548,3
220890,3
378087,3
274633,2
482981,3
303429,2
276882,0
93793,3
681420,1
60568,3
10986,4
26193,2
744330,5
363283,3
629210,2
697293,1
83980,3
259773,1
58372,3
105165,2
236500,2
94832,1
285781,2
761600,3
760484,2
388764,4
10779,3
369821,3
813258,3
619937,3
230680,0
46493,3
633545,2
198338,2
1124726,5
1018195,3
288763,3
246608,1
197377,2
74749,0
92959,4
901365,2
592536,5
308862,1
88761,3
41077,3
186458,1
652685,1
673875,1
566861,2
227973,3
267239,1
25432,2
415220,3
1034852,3
886544,0
448530,1
1106101,5
613835,2
9762,3
136707,3
501869,4
911098,5
8053,3
157306,3
940631,4
448075,0
529772,0
158080,2
289200,5
167028,2
191094,1
110702,3
756246,5
369840,0
189715,2
666344,0
44482,3
216968,1
1042140,3
123989,3
188348,0
320047,1
79246,2
452580,2
233567,2
252377,3
147002,4
24676,2
58602,2
38995,2
431222,0
89492,3
480352,1
948610,1
478005,5
34182,2
3052,2
195625,1
180510,2
1062526,4
103631,0
869358,4
1071928,4
47161,3
562169,2
85115,3
500565,2
242378,2
65991,3
147936,5
551465,2
57084,2
204988,2
572312,1
592938,2
303808,3
218341,3
388388,0
335683,2
790948,0
341,2
94828,2
71296,2
878023,1
338677,0
355353,4
297974,3
391060,5
577162,1
201002,2
1145612,4
863929,2
57109,2
178758,1
456646,2
472612,3
49204,3
277816,2
338073,2
153021,3
157194,2
28932,4
140601,2
115075,2
549179,3
46496,0
448565,3
290233,3
37584,3
172740,2
44305,2
291962,5
257569,2
123331,0
329884,0
548000,5
249677,1
451432,3
162785,2
139476,4
7509,3
304395,3
312993,3
373033,1
359642,4
6296,3
601937,0
448549,4
399363,3
67720,1
551778,1
365992,4
884348,3
219233,4
1020481,4
85564,3
260649,3
837780,3
1053568,5
25626,4
884279,2
445164,1
347653,2
437202,3
83803,2
566365,1
599379,3
820722,3
705793,4
564058,3
36536,3
11535,0
178466,2
473275,5
508747,4
32117,3
1113891,5
91987,2
544867,0
204977,2
1055312,5
13689,4
718102,2
855,4
415476,3
735129,2
68392,2
26170,3
381015,3
54823,1
882956,2
564579,2
56696,1
35696,2
11333,3
20105,2
427408,3
86641,1
431665,2
4961,3
729839,2
427008,4
212007,0
256201,4
462446,2
888910,3
69116,3
122719,5
729901,2
579517,2
140613,3
522307,2
65502,4
243833,5
336866,2
675302,5
210161,4
138790,3
51642,1
728123,2
303904,3
783110,3
822138,3
945995,4
288767,4
464272,3
264290,2
450720,3
328651,0
434646,3
50550,3
587133,4
891150,3
411343,1
323160,3
701300,3
209731,2
436320,5
104543,3
324178,1
40075,0
559566,3
415257,3
470114,2
979606,5
151743,3
515169,3
902964,5
119992,1
259045,2
310516,2
788920,2
61728,3
336893,4
1000723,2
80994,3
146507,2
322664,2
56922,2
342550,3
419612,1
101180,1
145951,1
37453,4
316988,0
786731,4
491974,2
295353,2
1166013,3
703531,0
388317,0
128354,0
758009,3
36361,2
660640,0
602397,3
255511,2
561033,0
213592,3
292750,3
212088,2
45773,1
62446,2
409296,2
243537,0
384261,2
767692,3
218443,3
112785,4
484755,4
102475,1
126008,1
890345,1
410685,3
271768,3
189008,5
60778,2
284324,1
609352,2
267654,1
256152,2
357859,2
352499,0
829400,3
338937,1
11858,3
664958,5
431092,2
931224,5
191860,5
33107,2
339928,3
205715,2
8905,3
145657,1
567232,0
266364,1
488693,2
523703,2
464693,1
110687,4
500902,1
98884,2
72852,2
482427,5
125948,3
262921,2
52657,2
476702,3
86470,1
156345,2
359628,4
44046,2
255237,2
759604,5
542971,3
609346,1
91722,2
243022,2
97895,0
530213,5
463856,5
397584,5
91063,1
251333,2
475888,4
600345,0
55912,1
432689,2
257343,3
606935,0
259034,0
528426,0
236461,2
475747,5
212415,0
144262,3
57903,0
1020776,5
366171,3
257640,2
14794,4
703449,1
44864,4
609500,0
289343,2
436740,2
35977,2
33942,2
288187,2
73602,2
421061,1
2233,1
51865,2
1109497,5
843850,3
287580,4
147084,1
30583,2
407628,1
970713,3
256771,2
9377,4
405894,3
434615,0
9873,3
470914,3
742740,1
289374,0
198068,0
400589,0
367198,2
46134,3
401729,2
124250,2
580377,2
269136,3
843120,2
524084,3
360711,2
825952,3
339689,2
4268,2
86743,2
255422,2
404224,2
283073,5
392,3
5623,1
42005,2
111050,2
625884,3
34825,2
46273,3
1094367,4
338553,2
337718,2
621754,3
156476,2
533762,2
82002,2
34615,3
166733,2
318186,4
377772,4
49325,2
648705,2
85926,3
1000245,4
46364,1
108021,2
744929,3
85394,3
424647,3
393382,2
76843,2
264861,0
160171,3
201010,2
639421,3
212721,3
472193,1
877468,4
1145322,4
53611,2
101438,1
519834,2
91859,3
681097,0
1072613,2
238962,0
407158,5
629127,1
512273,3
38750,1
296456,2
744719,0
412437,3
833522,4
348094,0
628468,1
524251,4
937020,4
78522,1
295737,2
222689,2
717917,1
99729,3
116146,3
253155,3
26167,3
1081694,2
151040,2
586586,2
106070,0
810271,1
204932,1
267806,1
669696,3
45011,3
219565,4
332338,5
567914,3
37879,5
417878,2
597686,2
235025,3
9530,2
271649,1
46462,0
689071,1
59537,1
399417,2
161704,3
777749,3
56217,2
80655,1
379223,4
292103,3
119637,3
139525,4
54865,3
338983,3
47700,2
15402,3
122888,1
47112,2
459674,1
1022396,3
729218,3
22913,3
169953,0
427673,2
41439,3
414954,2
448268,2
591801,4
69589,4
714401,3
92774,0
448863,0
36570,2
554491,5
307252,4
385922,2
63322,3
590528,2
67739,2
112195,2
43939,2
33607,0
95555,1
793180,3
85145,0
46162,2
58980,5
471265,0
354606,2
37463,3
199215,1
89057,2
15867,3
72086,3
402552,4
806761,5
214218,3
38988,3
20935,3
184322,2
675592,3
220881,2
858067,3
876804,0
67326,2
542092,3
172608,0
340484,2
371514,2
174953,2
13867,2
221476,2
463252,3
697724,0
188460,1
21033,2
254292,2
1127069,5
373768,1
719727,5
667542,4
720272,1
65048,3
209266,3
771282,0
372234,3
178657,2
1015079,3
349314,3
693634,5
899739,0
30554,2
77736,4
160342,3
345719,5
72995,5
200502,3
65014,2
179233,2
303504,1
948031,2
301304,2
184159,4
298830,1
83563,2
512291,2
694127,2
315929,2
156188,3
227077,1
522138,5
781,4
211982,3
631897,0
123182,2
210623,4
105108,1
63618,3
185308,0
166003,0
22510,3
114184,2
1010520,3
351652,5
134761,0
87116,4
458348,3
755616,5
503720,3
525851,4
142451,4
32019,2
827500,3
50231,3
91464,1
544795,4
182959,4
345540,0
470401,3
438524,3
282133,3
276623,3
365002,2
302812,1
115383,2
660243,2
485995,3
50001,3
337260,2
64337,1
1094448,4
249605,2
215861,2
1061659,5
374056,2
615289,5
716980,5
459848,2
460598,4
423809,2
238452,2
793425,4
53743,3
412173,3
200768,1
313922,2
876588,2
846390,5
52585,4
184672,2
701180,4
67123,2
395120,4
290512,3
552504,2
293085,3
114860,0
572151,3
700284,4
576116,2
488442,5
733416,0
359201,3
705861,4
157962,3
739451,3
870091,5
297349,3
803858,3
105683,3
87382,1
954396,5
310824,1
359004,2
110653,1
834657,2
441946,1
275036,4
661340,2
86837,4
174498,2
19097,1
104952,1
489954,2
382487,4
322472,0
247504,2
436407,0
29457,2
606903,1
36354,1
289416,1
196735,0
273193,2
241622,5
491486,5
254487,3
113207,2
146015,3
416653,4
166178,2
106635,3
366632,1
882922,4
468350,0
131870,3
647560,5
960071,0
105923,2
343699,4
899672,2
494678,0
488325,5
394014,3
460279,2
370060,3
659676,4
169436,2
16409,3
410163,1
785812,2
759373,1
362065,1
24476,2
443533,1
87,4
662793,3
56903,4
393276,0
777093,0
832507,4
85889,3
162451,4
246953,2
445250,4
568050,1
207892,2
27420,2
468278,5
437620,4
40909,3
597904,2
285310,3
1045253,2
923763,0
344627,0
128470,3
281571,0
183786,3
357255,3
379199,2
296280,2
700554,0
81694,2
361042,1
465056,0
37195,2
335058,2
879086,5
37717,3
353431,2
346175,3
25943,1
387411,1
945897,3
234963,2
57799,2
518941,1
409366,2
629489,0
1057929,1
103544,3
630863,1
154400,3
28483,4
683282,5
226354,2
222217,4
204813,4
692509,1
390701,2
437463,0
1123770,4
394493,1
55144,2
670393,4
315140,2
102666,2
319195,2
296865,3
235109,5
398810,4
17927,3
635583,2
843655,2
13536,2
207270,1
5256,1
419596,2
312748,1
59904,0
431821,4
743536,0
438733,4
892504,2
296523,2
474114,5
49399,3
509617,3
27996,2
473019,3
185958,3
306342,3
114001,3
261528,4
479333,1
210720,2
401461,2
401000,0
208592,2
285399,3
607060,5
248448,2
83998,3
71682,1
224000,4
215656,2
45409,1
972254,3
576896,2
747086,4
25187,2
63020,2
555862,3
247491,5
43029,3
132183,3
785757,3
67907,2
19357,3
193067,2
546911,2
41481,3
482016,3
496604,4
151026,2
104797,3
15436,2
5767,3
25078,3
273819,3
263109,3
446695,3
57628,3
453602,0
578118,2
193987,1
530270,2
463890,2
149180,3
93465,3
113388,4
103398,3
535604,5
681261,4
543744,5
44534,3
276086,0
257584,2
569234,2
176445,1
613793,5
22167,3
136215,4
102419,3
548647,2
267856,4
251206,3
85424,1
396422,3
587338,2
281800,1
696954,0
904139,0
357424,3
597148,0
1066916,5
726657,3
73134,3
7550,1
55220,2
96888,3
697417,1
736545,3
125183,3
535148,5
433909,5
1134665,5
478434,3
194607,1
1103199,2
222777,0
242504,1
298750,2
239914,2
375097,3
630240,3
177648,1
106926,2
399566,4
617204,0
332296,1
453764,3
51981,2
354034,2
644174,1
974991,5
307098,0
598858,2
998150,2
74124,3
522893,3
492023,0
9050,3
433053,3
108707,3
45959,0
136694,3
328177,5
82344,2
11472,2
618996,2
388864,2
665391,5
386506,2
13405,3
16101,2
471416,0
201253,1
111708,3
206610,1
928251,3
40079,3
237305,2
187349,2
60395,5
957325,2
348991,5
15389,3
172983,3
133176,3
189918,3
509402,4
133469,3
185156,3
345917,0
316029,3
336453,1
1088157,1
972934,0
181491,2
324870,2
182035,1
636336,2
735361,5
355419,1
351439,0
9689,3
56129,4
466522,2
47325,3
28165,2
359422,0
139579,4
351414,3
494976,1
587178,5
254655,0
904031,3
192678,1
69089,3
390414,2
946726,3
11513,3
219643,0
489839,5
384594,2
822915,4
941959,3
11491,1
838600,4
38824,2
1058678,5
84872,2
129378,3
60152,0
223147,2
229401,1
527769,3
1168137,3
521541,0
26381,1
554957,3
203770,3
161402,2
401144,2
31120,0
265036,5
852087,4
157236,2
903300,4
71596,0
995479,3
474998,0
175183,3
269350,2
265747,2
61855,0
234687,2
1394,4
15977,3
440597,2
12658,2
189699,2
308771,3
345259,2
5622,4
117135,3
176049,3
818612,3
434625,1
399464,3
559135,5
234967,2
692756,4
39911,0
218317,2
801174,3
522004,5
564863,4
487186,3
71531,3
302035,0
211006,1
11048,3
56403,1
112876,2
962558,4
290348,0
58438,4
57627,3
718240,2
241999,2
99838,2
635638,5
1072112,4
22504,3
717399,1
264989,0
10105,3
881194,0
964980,4
71160,3
287767,3
